ticket_id;fecha_creacion;fecha_cierre;canal;prioridad;categoria;subcategoria;estado;equipo_asignado;agente;cliente_empresa;ciudad;tipo_cliente;sla_horas;tiempo_resolucion_horas;cumple_sla;dias_abierto;satisfaccion_cliente
TCK-00056;2025-09-05;2025-09-08;Web;Baja;Redes;Sin conexión;Resuelto;Mesa de ayuda;Luis Ramos;Distribuidora Horizonte;Huancayo;Externo;48;80.0;No;3;3.0
TCK-00057;2025-12-09;2025-12-09;Web;Crítica;Software;Instalación de programa;Cerrado;Infraestructura;Jorge Salazar;Logística Central;Arequipa;Externo;4;10.0;No;0;3.0
TCK-00058;2025-05-22;;Web;Media;Software;Actualización fallida;En progreso;Seguridad;Valeria Rojas;Servicios Lima;Trujillo;Externo;24;;No aplica;223;
TCK-00059;2025-08-18;;Teléfono;Alta;ERP;Error en módulo;En progreso;Aplicaciones;Lucía Herrera;Inversiones Sur;Trujillo;Externo;8;;No aplica;135;
TCK-00060;2025-08-06;2025-08-07;Chat;Media;Accesos;Permisos de usuario;Resuelto;Aplicaciones;Diego Vargas;Servicios Lima;Lima;Interno;24;44.0;No;1;1.0
TCK-00061;2025-10-02;;Chat;Media;ERP;Consulta de proceso;En progreso;Aplicaciones;Lucía Herrera;Logística Central;Lima;Interno;24;;No aplica;90;
TCK-00062;2025-06-01;;Correo;Alta;Correo;No recibe correos;Abierto;Aplicaciones;Patricia León;Comercial Andina;Cusco;Externo;8;;No aplica;213;
TCK-00063;2025-12-24;2025-12-25;Chat;Media;Hardware;Equipo lento;Cerrado;Soporte ERP;Camila Núñez;Distribuidora Horizonte;Trujillo;Externo;24;47.0;No;1;1.0
TCK-00064;2025-01-27;;Correo;Baja;Hardware;Falla de impresora;Abierto;Seguridad;Ricardo Flores;Comercial Andina;Huancayo;Interno;48;;No aplica;338;
TCK-00065;2025-10-16;;Chat;Alta;Correo;Error de envío;En progreso;Soporte ERP;Fernando Díaz;Corporación Sierra;Trujillo;Externo;8;;No aplica;76;
TCK-00066;2025-06-02;2025-06-05;Chat;Baja;Correo;No recibe correos;Resuelto;Soporte ERP;Fernando Díaz;Servicios Lima;Huancayo;Externo;48;92.0;No;3;1.0
TCK-00067;2025-03-22;;Correo;Media;Accesos;Permisos de usuario;En progreso;Soporte ERP;Camila Núñez;Logística Central;Lima;Interno;24;;No aplica;284;
TCK-00068;2025-05-28;2025-05-29;Teléfono;Media;ERP;Error en módulo;Resuelto;Aplicaciones;Lucía Herrera;Servicios Lima;Trujillo;Interno;24;32.0;No;1;3.0
TCK-00069;2025-03-18;;Chat;Baja;Software;Instalación de programa;Abierto;Soporte ERP;Camila Núñez;Distribuidora Horizonte;Lima;Externo;48;;No aplica;288;
TCK-00070;2025-12-19;2025-12-20;Correo;Media;Correo;Error de envío;Resuelto;Seguridad;Ricardo Flores;Comercial Andina;Trujillo;Externo;24;36.0;No;1;1.0
TCK-00071;2025-02-16;2025-02-18;Correo;Media;Correo;No recibe correos;Cerrado;Aplicaciones;Lucía Herrera;Comercial Andina;Huancayo;Externo;24;70.0;No;2;3.0
TCK-00072;2025-08-15;2025-08-15;Chat;Alta;ERP;Consulta de proceso;Resuelto;Mesa de ayuda;Luis Ramos;Inversiones Sur;Trujillo;Externo;8;12.0;No;0;3.0
TCK-00073;2025-02-23;2025-02-24;Chat;Media;Redes;Lentitud de red;Resuelto;Seguridad;Ricardo Flores;Distribuidora Horizonte;Lima;Externo;24;36.0;No;1;2.0
TCK-00074;2025-03-01;2025-03-03;Chat;Media;Hardware;Cambio de periférico;Resuelto;Soporte ERP;Camila Núñez;Corporación Sierra;Lima;Interno;24;70.0;No;2;2.0
TCK-00075;2025-11-15;2025-11-15;Teléfono;Media;Software;Instalación de programa;Cerrado;Soporte ERP;Fernando Díaz;Logística Central;Trujillo;Externo;24;19.0;Sí;0;4.0
TCK-00076;2025-11-19;;Web;Alta;Correo;No recibe correos;En progreso;Soporte ERP;Camila Núñez;Retail Norte;Huancayo;Interno;8;;No aplica;42;
TCK-00077;2025-08-25;;Chat;Media;ERP;Consulta de proceso;En progreso;Soporte ERP;Camila Núñez;Corporación Sierra;Trujillo;Externo;24;;No aplica;128;
TCK-00078;2025-05-05;;Web;Alta;Correo;Configuración de Outlook;En progreso;Infraestructura;Carlos Medina;Logística Central;Trujillo;Externo;8;;No aplica;240;
TCK-00079;2025-09-17;2025-09-17;Correo;Crítica;CRM;Consulta de cliente;Cerrado;Soporte ERP;Camila Núñez;Grupo Pacífico;Trujillo;Externo;4;6.0;No;0;2.0
TCK-00080;2025-10-10;2025-10-10;Teléfono;Media;CRM;Error de registro;Cerrado;Infraestructura;Elena Chávez;Corporación Sierra;Huancayo;Externo;24;9.0;Sí;0;5.0
TCK-00081;2025-08-31;2025-09-04;Teléfono;Baja;ERP;Problema de permisos;Resuelto;Infraestructura;Jorge Salazar;Comercial Andina;Huancayo;Externo;48;119.0;No;4;1.0
TCK-00082;2025-08-14;;Correo;Baja;Software;Instalación de programa;Abierto;Infraestructura;Carlos Medina;Distribuidora Horizonte;Arequipa;Externo;48;;No aplica;139;
TCK-00083;2025-11-16;2025-11-16;Teléfono;Media;CRM;Consulta de cliente;Cerrado;Soporte ERP;Camila Núñez;Inversiones Sur;Trujillo;Interno;24;12.0;Sí;0;4.0
TCK-00084;2025-11-20;;Teléfono;Alta;Hardware;Falla de impresora;En progreso;Mesa de ayuda;María Paredes;Retail Norte;Trujillo;Interno;8;;No aplica;41;
TCK-00085;2025-12-22;2025-12-22;Correo;Crítica;Hardware;Falla de impresora;Resuelto;Aplicaciones;Diego Vargas;Corporación Sierra;Huancayo;Interno;4;9.0;No;0;2.0
TCK-00086;2025-10-17;;Teléfono;Alta;Correo;Error de envío;En progreso;Soporte ERP;Fernando Díaz;Distribuidora Horizonte;Cusco;Interno;8;;No aplica;75;
TCK-00087;2025-04-29;;Web;Alta;Hardware;Falla de impresora;En progreso;Aplicaciones;Lucía Herrera;Grupo Pacífico;Lima;Externo;8;;No aplica;246;
TCK-00088;2025-06-26;2025-06-26;Chat;Alta;ERP;Consulta de proceso;Cancelado;Seguridad;Valeria Rojas;Servicios Lima;Trujillo;Externo;8;;No aplica;0;
TCK-00089;2025-05-02;2025-05-02;Web;Media;ERP;Consulta de proceso;Resuelto;Mesa de ayuda;María Paredes;Corporación Sierra;Arequipa;Interno;24;10.0;Sí;0;5.0
TCK-00090;2025-05-27;2025-05-27;Teléfono;Alta;Software;Actualización fallida;Cerrado;Infraestructura;Elena Chávez;Logística Central;Huancayo;Interno;8;22.0;No;0;3.0
TCK-00091;2025-01-21;2025-01-22;Correo;Media;ERP;Error en módulo;Resuelto;Mesa de ayuda;Luis Ramos;Inversiones Sur;Trujillo;Interno;24;29.0;No;1;1.0
TCK-00092;2025-10-04;2025-10-06;Chat;Media;Redes;Sin conexión;Resuelto;Aplicaciones;Diego Vargas;Logística Central;Arequipa;Interno;24;63.0;No;2;1.0
TCK-00093;2025-03-14;2025-03-14;Teléfono;Alta;ERP;Consulta de proceso;Resuelto;Soporte ERP;Camila Núñez;Retail Norte;Trujillo;Interno;8;10.0;No;0;3.0
TCK-00094;2025-03-05;2025-03-06;Web;Media;Correo;Error de envío;Resuelto;Aplicaciones;Patricia León;Servicios Lima;Trujillo;Interno;24;45.0;No;1;3.0
TCK-00095;2025-04-24;2025-04-25;Web;Media;ERP;Consulta de proceso;Resuelto;Seguridad;Ricardo Flores;Grupo Pacífico;Lima;Interno;24;42.0;No;1;2.0
TCK-00096;2025-03-01;;Correo;Baja;Accesos;Permisos de usuario;En progreso;Soporte ERP;Camila Núñez;Grupo Pacífico;Trujillo;Interno;48;;No aplica;305;
TCK-00097;2025-09-08;2025-09-08;Web;Baja;ERP;Consulta de proceso;Resuelto;Infraestructura;Jorge Salazar;Distribuidora Horizonte;Huancayo;Externo;48;20.0;Sí;0;5.0
TCK-00098;2025-10-06;;Chat;Media;Redes;Sin conexión;Abierto;Mesa de ayuda;Luis Ramos;Retail Norte;Huancayo;Interno;24;;No aplica;86;
TCK-00099;2025-01-26;;Teléfono;Alta;Correo;No recibe correos;En progreso;Mesa de ayuda;María Paredes;Servicios Lima;Cusco;Interno;8;;No aplica;339;
TCK-00100;2025-04-30;2025-04-30;Correo;Alta;Hardware;Falla de impresora;Cerrado;Infraestructura;Carlos Medina;Logística Central;Huancayo;Interno;8;23.0;No;0;1.0
TCK-00101;2025-03-09;;Correo;Baja;Redes;Sin conexión;En progreso;Infraestructura;Jorge Salazar;Comercial Andina;Huancayo;Externo;48;;No aplica;297;
TCK-00102;2025-09-27;2025-09-27;Correo;Crítica;Redes;Lentitud de red;Resuelto;Soporte ERP;Fernando Díaz;Distribuidora Horizonte;Cusco;Interno;4;10.0;No;0;1.0
TCK-00103;2025-12-04;2025-12-04;Web;Media;Hardware;Falla de impresora;Cancelado;Seguridad;Valeria Rojas;Retail Norte;Trujillo;Externo;24;;No aplica;0;
TCK-00104;2025-02-11;;Correo;Alta;Correo;Configuración de Outlook;En progreso;Soporte ERP;Camila Núñez;Corporación Sierra;Cusco;Externo;8;;No aplica;323;
TCK-00105;2025-08-21;2025-08-23;Web;Media;Hardware;Cambio de periférico;Cerrado;Soporte ERP;Fernando Díaz;Corporación Sierra;Trujillo;Interno;24;56.0;No;2;2.0
TCK-00106;2025-08-21;2025-08-21;Web;Media;Redes;Lentitud de red;Resuelto;Aplicaciones;Diego Vargas;Grupo Pacífico;Trujillo;Interno;24;15.0;Sí;0;4.0
TCK-00107;2025-02-17;2025-02-19;Web;Media;Software;Actualización fallida;Resuelto;Mesa de ayuda;María Paredes;Inversiones Sur;Lima;Externo;24;49.0;No;2;3.0
TCK-00108;2025-08-05;2025-08-05;Chat;Media;Correo;Error de envío;Cancelado;Aplicaciones;Patricia León;Servicios Lima;Huancayo;Externo;24;;No aplica;0;
TCK-00109;2025-02-25;;Web;Media;Redes;Lentitud de red;Abierto;Infraestructura;Jorge Salazar;Comercial Andina;Cusco;Externo;24;;No aplica;309;
TCK-00110;2025-01-15;2025-01-15;Correo;Media;Redes;VPN;Resuelto;Mesa de ayuda;Ana Torres;Grupo Pacífico;Cusco;Externo;24;12.0;Sí;0;4.0
TCK-00111;2025-11-21;2025-11-21;Chat;Alta;Accesos;Permisos de usuario;Resuelto;Seguridad;Valeria Rojas;Grupo Pacífico;Arequipa;Externo;8;12.0;No;0;3.0
TCK-00112;2025-11-02;;Correo;Crítica;Correo;No recibe correos;En progreso;Mesa de ayuda;Luis Ramos;Distribuidora Horizonte;Trujillo;Externo;4;;No aplica;59;
TCK-00113;2025-11-07;2025-11-07;Web;Alta;Hardware;Falla de impresora;Cerrado;Seguridad;Ricardo Flores;Logística Central;Cusco;Externo;8;18.0;No;0;3.0
TCK-00114;2025-06-07;2025-06-08;Correo;Media;Hardware;Equipo lento;Resuelto;Aplicaciones;Patricia León;Grupo Pacífico;Arequipa;Externo;24;45.0;No;1;1.0
TCK-00115;2025-01-04;;Web;Media;Correo;Configuración de Outlook;En progreso;Infraestructura;Elena Chávez;Inversiones Sur;Lima;Externo;24;;No aplica;361;
TCK-00116;2025-01-22;;Web;Media;Redes;Lentitud de red;Abierto;Seguridad;Valeria Rojas;Corporación Sierra;Arequipa;Interno;24;;No aplica;343;
TCK-00117;2025-07-27;2025-07-29;Correo;Media;Correo;Error de envío;Cerrado;Aplicaciones;Patricia León;Corporación Sierra;Lima;Interno;24;59.0;No;2;3.0
TCK-00118;2025-07-25;2025-07-27;Web;Media;Redes;Sin conexión;Resuelto;Aplicaciones;Patricia León;Retail Norte;Cusco;Interno;24;71.0;No;2;3.0
TCK-00119;2025-04-10;2025-04-11;Chat;Media;CRM;Consulta de cliente;Cerrado;Infraestructura;Carlos Medina;Retail Norte;Huancayo;Externo;24;29.0;No;1;1.0
TCK-00120;2025-11-05;;Correo;Baja;CRM;Consulta de cliente;Abierto;Seguridad;Valeria Rojas;Distribuidora Horizonte;Cusco;Externo;48;;No aplica;56;
TCK-00121;2025-11-18;2025-11-19;Correo;Media;ERP;Consulta de proceso;Resuelto;Aplicaciones;Lucía Herrera;Comercial Andina;Arequipa;Interno;24;43.0;No;1;2.0
TCK-00122;2025-08-20;2025-08-22;Correo;Media;ERP;Error en módulo;Resuelto;Soporte ERP;Camila Núñez;Distribuidora Horizonte;Cusco;Interno;24;61.0;No;2;3.0
TCK-00123;2025-11-30;2025-11-30;Correo;Media;Hardware;Falla de impresora;Resuelto;Mesa de ayuda;Luis Ramos;Retail Norte;Cusco;Interno;24;9.0;Sí;0;4.0
TCK-00124;2025-12-29;2025-12-29;Web;Media;Software;Instalación de programa;Resuelto;Aplicaciones;Diego Vargas;Corporación Sierra;Trujillo;Externo;24;10.0;Sí;0;5.0
TCK-00125;2025-02-03;2025-02-05;Correo;Media;Redes;Lentitud de red;Resuelto;Soporte ERP;Fernando Díaz;Inversiones Sur;Lima;Interno;24;48.0;No;2;2.0
TCK-00126;2025-12-02;2025-12-04;Teléfono;Media;Hardware;Falla de impresora;Resuelto;Soporte ERP;Camila Núñez;Inversiones Sur;Huancayo;Interno;24;58.0;No;2;3.0
TCK-00127;2025-07-05;2025-07-05;Correo;Media;Redes;VPN;Cancelado;Infraestructura;Carlos Medina;Grupo Pacífico;Huancayo;Interno;24;;No aplica;0;
TCK-00128;2025-02-21;2025-02-21;Web;Media;Correo;No recibe correos;Cerrado;Aplicaciones;Lucía Herrera;Grupo Pacífico;Cusco;Externo;24;23.0;Sí;0;4.0
TCK-00129;2025-04-03;2025-04-05;Teléfono;Baja;Software;Actualización fallida;Cerrado;Seguridad;Ricardo Flores;Corporación Sierra;Arequipa;Interno;48;64.0;No;2;3.0
TCK-00130;2025-05-26;;Teléfono;Baja;Software;Instalación de programa;En progreso;Seguridad;Ricardo Flores;Inversiones Sur;Cusco;Externo;48;;No aplica;219;
TCK-00131;2025-08-25;2025-08-28;Teléfono;Baja;Accesos;Restablecimiento de contraseña;Resuelto;Infraestructura;Elena Chávez;Grupo Pacífico;Arequipa;Interno;48;90.0;No;3;2.0
TCK-00132;2025-07-10;2025-07-10;Web;Alta;CRM;Error de registro;Cerrado;Aplicaciones;Patricia León;Grupo Pacífico;Arequipa;Externo;8;18.0;No;0;1.0
TCK-00133;2025-08-12;2025-08-13;Correo;Baja;Redes;Sin conexión;Cerrado;Seguridad;Ricardo Flores;Corporación Sierra;Cusco;Externo;48;38.0;Sí;1;5.0
TCK-00134;2025-02-11;2025-02-11;Web;Crítica;CRM;Consulta de cliente;Cerrado;Aplicaciones;Patricia León;Grupo Pacífico;Lima;Externo;4;8.0;No;0;3.0
TCK-00135;2025-03-13;2025-03-13;Teléfono;Media;Hardware;Equipo lento;Resuelto;Aplicaciones;Patricia León;Grupo Pacífico;Cusco;Externo;24;18.0;Sí;0;5.0
TCK-00136;2025-05-02;2025-05-02;Correo;Crítica;CRM;Consulta de cliente;Resuelto;Seguridad;Ricardo Flores;Retail Norte;Trujillo;Interno;4;11.0;No;0;3.0
TCK-00137;2025-10-22;2025-10-22;Correo;Alta;Correo;Error de envío;Resuelto;Infraestructura;Elena Chávez;Corporación Sierra;Huancayo;Interno;8;18.0;No;0;2.0
TCK-00138;2025-02-04;2025-02-06;Chat;Media;Correo;Configuración de Outlook;Cerrado;Mesa de ayuda;Luis Ramos;Distribuidora Horizonte;Lima;Externo;24;51.0;No;2;2.0
TCK-00139;2025-01-09;;Web;Crítica;ERP;Problema de permisos;En progreso;Mesa de ayuda;María Paredes;Inversiones Sur;Huancayo;Interno;4;;No aplica;356;
TCK-00140;2025-06-30;;Web;Baja;CRM;Consulta de cliente;En progreso;Seguridad;Valeria Rojas;Grupo Pacífico;Huancayo;Interno;48;;No aplica;184;
TCK-00141;2025-08-23;2025-08-23;Correo;Alta;Hardware;Falla de impresora;Cerrado;Aplicaciones;Lucía Herrera;Corporación Sierra;Cusco;Externo;8;10.0;No;0;1.0
TCK-00142;2025-11-28;2025-11-30;Correo;Media;CRM;Consulta de cliente;Cerrado;Aplicaciones;Diego Vargas;Retail Norte;Arequipa;Externo;24;55.0;No;2;3.0
TCK-00143;2025-08-14;2025-08-14;Chat;Media;Accesos;Cuenta bloqueada;Cancelado;Seguridad;Valeria Rojas;Logística Central;Lima;Externo;24;;No aplica;0;
TCK-00144;2025-08-09;2025-08-12;Web;Baja;Redes;Sin conexión;Resuelto;Mesa de ayuda;Luis Ramos;Logística Central;Arequipa;Externo;48;85.0;No;3;3.0
TCK-00145;2025-08-07;2025-08-09;Correo;Media;ERP;Consulta de proceso;Resuelto;Soporte ERP;Camila Núñez;Logística Central;Lima;Interno;24;55.0;No;2;2.0
TCK-00146;2025-09-20;2025-09-20;Teléfono;Media;Software;Actualización fallida;Cancelado;Seguridad;Ricardo Flores;Grupo Pacífico;Lima;Interno;24;;No aplica;0;
TCK-00147;2025-07-07;;Web;Baja;Software;Actualización fallida;Abierto;Seguridad;Valeria Rojas;Inversiones Sur;Trujillo;Interno;48;;No aplica;177;
TCK-00148;2025-10-21;2025-10-21;Correo;Media;Redes;Sin conexión;Resuelto;Mesa de ayuda;Ana Torres;Grupo Pacífico;Trujillo;Externo;24;19.0;Sí;0;5.0
TCK-00149;2025-05-14;2025-05-14;Teléfono;Alta;ERP;Consulta de proceso;Resuelto;Infraestructura;Carlos Medina;Grupo Pacífico;Lima;Externo;8;7.0;Sí;0;5.0
